,title,year,link,rating,votes,genre,runtime
146,Последние патроны,1897,/title/tt0223130/,5.3,266,"Short, War",1 min
147,Поцелуй в туннеле,II) (1899,/title/tt0257839/,5.3,327,"Short, Comedy, Romance",1 min
148,Passengers Alighting from Ferry Brighton at Manly,1896,/title/tt0499360/,6.0,6,"Documentary, Short",
149,Brighton Street Scene,1888,/title/tt2116853/,5.6,70,"Documentary, Short",
150,The Melbourne Cup,1896,/title/tt0499344/,5.2,60,"Documentary, Short, Sport",3 min
151,Вылaвливание красных рыбок,1895,/title/tt0000028/,5.2,749,"Documentary, Short",1 min
152,Edison Drawn by 'World' Artist,1896,/title/tt0229364/,5.1,156,"Documentary, Short",2 min
153,Торжественный японский танец,1894,/title/tt0203581/,5.0,457,Short,1 min
154,La caverne maudite,1898,/title/tt0000179/,4.8,14,"Short, Horror",
155,Le prince de Galles,1892,/title/tt0234520/,6.1,89,"Documentary, Short",
156,"Лев, Лондонский зоологический сад",1896,/title/tt0256884/,5.3,538,"Short, Documentary",1 min
157,Приветствие Диксона,1891,/title/tt0241373/,5.4,1081,Short,1 min
158,Дерби,I) (1896,/title/tt0815451/,5.0,266,"Documentary, Short, Sport",1 min
159,Пробуждение Рипа,1896,/title/tt0000036/,4.5,434,"Drama, Short",
160,Chirurgien américain,1897,/title/tt0222988/,5.9,9,Short,2 min
161,Братья Гленрой (Комический бокс),1894,/title/tt0256782/,5.2,664,"Documentary, Short, Sport",1 min
162,Black Diamond Express,1896,/title/tt0204902/,5.4,232,"Documentary, Short",1 min
163,Watermelon Contest,1896,/title/tt0238717/,4.2,197,"Short, Comedy",1 min
164,Macbeth,1898,/title/tt2398191/,6.5,13,"Short, Drama",
165,Momijigari,1899,/title/tt0000319/,6.0,89,Short,6 min
166,Enfants pêchant des crevettes,1896,/title/tt0256687/,5.5,308,"Short, Documentary",1 min
167,Shooting Captured Insurgents,1898,/title/tt0229725/,5.0,223,"Short, War",1 min
168,Шалости 2,1890,/title/tt0416046/,4.9,805,Short,1 min
169,Cockatoo Flying,1887,/title/tt8133192/,4.9,22,"Animation, Short",
170,Something Good - Negro Kiss,1898,/title/tt0230802/,6.6,162,"Short, Comedy",1 min
171,La bandera argentina,1897,/title/tt0199351/,7.8,13,Short,3 min
172,Querelle de matelassières,1898,/title/tt1740536/,5.3,168,"Short, Comedy",1 min
173,Les pyramides (vue générale),1897,/title/tt1676959/,5.8,121,"Documentary, Short",1 min
174,Photographing a Ghost,1898,/title/tt0000209/,5.6,10,"Short, Horror",
175,Man Riding Jumping Horse,1887,/title/tt7754902/,5.3,31,Short,
176,Un bon lit,1899,/title/tt0000261/,6.2,35,"Short, Comedy, Horror",1 min
177,La Palestina en 1896,1897,/title/tt0178809/,6.0,115,"Documentary, Short",2 min
178,Trilby and Little Billee,1896,/title/tt0204000/,4.8,9,Short,
179,Сцена в китайской прачечной,1894,/title/tt0229300/,5.6,405,"Short, Comedy",1 min
180,Brittania,1898,/title/tt0000176/,,,Short,
181,Ladies' Skirts Nailed to a Fence,1899,/title/tt0257847/,5.2,317,"Short, Comedy",1 min
182,Lady Contortionist,1899,/title/tt0242588/,4.5,15,,
183,Les krémos: Sauts perilleux,1899,/title/tt1188711/,6.8,95,"Documentary, Short",1 min
184,Президент Маккинли дома,1896,/title/tt0203681/,4.8,436,"Documentary, Short",1 min
185,Адмирал Сигаретте,1897,/title/tt0217234/,5.0,435,"Documentary, Short",1 min
186,Птичий двор,1896,/title/tt0257008/,4.7,456,"Short, Documentary",1 min
187,Dancing Girls,1896,/title/tt0000061/,4.2,12,Short,
188,Утреннее купание,1896,/title/tt0203700/,4.4,395,"Documentary, Short, Comedy",1 min
189,Leone XIII,1896,/title/tt4029262/,5.0,103,"Documentary, Short",2 min
190,Pferd und Reiter Springen über ein Hindernis,1888,/title/tt3274100/,6.0,168,Short,1 min
191,Exécution de Jeanne d'Arc,1898,/title/tt0449988/,5.8,91,"Short, Drama, History",1 min
192,Bathing Scene at Coney Island,1896,/title/tt2188673/,,,"Documentary, Short",
193,The Launch of H.M.S. Albion,1898,/title/tt1166819/,6.0,104,"Documentary, Short, News",2 min
194,Призыв духов,1899,/title/tt0000264/,5.8,301,"Short, Fantasy, Horror",1 min
195,Карточная игра,1897,/title/tt0336989/,5.4,385,Short,
196,Рукопожатие,1892,/title/tt0241524/,3.9,394,Short,1 min
197,Major Wilson's Last Stand,1899,/title/tt1991113/,,,"Short, Drama, History",
198,Лошадь встала на дыбы,1894,/title/tt0309396/,5.2,530,"Documentary, Short",1 min
199,Итальянский крестьянский танец,1895,/title/tt0000017/,4.8,207,"Documentary, Short",1 min
200,La flagellation,1898,/title/tt0000197/,6.4,5,Short,1 min
201,Edison Kinetoscope Records: Annie Oakley,1894,/title/tt8419312/,5.9,16,"Documentary, Short",
202,The Haunted House,1899,/title/tt0000245/,6.9,18,"Short, Comedy, Fantasy",
203,L'assassinat du duc de Guise,1897,/title/tt0451294/,5.4,68,"Short, History",1 min
204,Around the Big Curves on the Manhattan Elevated R.R.,1899,/title/tt0242282/,5.2,28,,
205,A Victorian Lady in Her Boudoir,1896,/title/tt0268747/,5.4,56,Short,1 min
206,Guanaco Galloping,1887,/title/tt8168414/,4.3,14,"Animation, Short",
207,Duncan Smoking,1891,/title/tt0241392/,5.1,81,Short,1 min
208,Падение кошки,1894,/title/tt2049440/,5.9,634,Short,1 min
209,Umberto e Margherita di Savoia a passeggio per il parco,1896,/title/tt2182221/,,,"Documentary, Short",
210,Tickling the Soles of Her Feet,1898,/title/tt0237828/,,,"Short, Comedy",
211,Кормление голубей,1896,/title/tt0203492/,4.9,711,"Short, Documentary",1 min
